Id;FirstName;LastName;Sex;DateOfBirth;Weight;Balance
1;spxabedepcq;otdvwqoxpyfhhm;f;13.04.1971;157;83862651
2;qudpnlozcspnhrgwudujnlr;vzwqlmvldvhwqznhqaiyisglgdpnltbsyilhodxk;m;26.06.1973;174;1342260645
3;yelugblvmddcpnnhvyvkkrafmg;ylezezx;m;24.07.1970;57;1186075981
4;pulaxzagxmjqlxkjplpktvmfnfwp;zzzprycbvopgblkvzxqgiztyfgtxuaurhjbmlfesm;m;22.03.1967;187;521117013
5;goclxgcrbfcqmvujnmbszclcylpovdyezxvfkltnvxe;opugppygfzaawxjwhnweaarwiqp;f;14.02.1966;109;2014778497
6;gkdhmnffhebuxvownylwamlkwxqoqjahbtjubfozkpfxzxqdyhwthehgncf;zotvzkyuzrzetksqmpsft;f;03.07.1964;196;1761018722
7;yxakaaoriuqfmsfabfmaygtgkgojsztoeuteszyant;amylljxkpmupxlommsklqiinyvocvjmjsjqenacesj;f;26.05.1985;171;322871658
8;evgvtcmmtrpfjwudzrehqnsm;incghxxpzireshzvqgjrbgtvdcufmy;f;26.01.2018;97;235586587
9;icmeeftj;ournzasuaturvusivygrfqjclllltonov;m;21.10.1992;53;1770279102
10;snrwcpylunsqudhbgfqtmjuismpcwmokkdpikqyddhvvdexkkempsa;gdunhlvhxittovmhwftzvqavzdsagpkxnkcfkzopygcudsxllsbzwjefe;m;22.04.2003;117;1278057198
